date,temperatureTreatment,foodTreatment,growthStage,totalLength,midbodyLength,bodyWidth,postoralArmLength,foodInGut,treatmentID,pictureID,notes,
2019-01-24,warm,Isochrysis,4_arm_pluteus,676,537,382,241,yes,H-ISGA-1,H-ISGA-1_20190124_02-09.tiff,,
2019-01-24,warm,Isochrysis,4_arm_pluteus,814,676,440,354,yes,H-ISGA-1,H-ISGA-1_20190124_03-02.tiff,,
2019-01-24,warm,Rhodomonas,6_arm_pluteus,1481,916,781,988,yes,H-RHLE-2,H-RHLE-2_20190124_01-06.tiff,,
2019-01-24,warm,Rhodomonas,6_arm_pluteus,1422,924,832,923,no,H-RHLE-2,H-RHLE-2_20190124_02-04.tiff,,
2019-01-24,warm,Rhodomonas,6_arm_pluteus,1436,986,746,1075,no,H-RHLE-2,H-RHLE-2_20190124_03-06.tiff,,
2019-01-26,cold,Isochrysis,4_arm_pluteus,644,557,312,235,yes,C-ISGA-5,C-ISGA-5_20190126_01-02.tiff,,
2019-01-26,cold,Isochrysis,4_arm_pluteus,761,630,376,345,yes,C-ISGA-5,C-ISGA-5_20190126_02-01.tiff,,
2019-01-26,cold,Isochrysis,4_arm_pluteus,828,643,392,432,yes,C-ISGA-5,C-ISGA-5_20190126_03-05.tiff,mouth difficult to see,
2019-01-26,cold,Rhodomonas,4_arm_pluteus,735,586,377,303,yes,C-RHLE-6,C-RHLE-6_20190126_01-04.tiff,difficult to see if food in gut,
2019-01-26,cold,Rhodomonas,4_arm_pluteus,755,627,332,308,yes,C-RHLE-6,C-RHLE-6_20190126_02-03.tiff,,
2019-01-26,cold,Rhodomonas,4_arm_pluteus,777,650,331,354,yes,C-RHLE-6,C-RHLE-6_20190126_03-10.tiff,,
2019-01-26,warm,Isochrysis,4_arm_pluteus,682,606,519,234,yes,H-ISGA-6,H-ISGA-6_20190126_01-05.tiff,,
2019-01-26,warm,Isochrysis,4_arm_pluteus,1021,805,710,536,yes,H-ISGA-6,H-ISGA-6_20190126_02-04.tiff,,
2019-01-26,warm,Isochrysis,4_arm_pluteus,903,725,624,478,yes,H-ISGA-6,H-ISGA-6_20190126_03-01.tiff,,
2019-01-26,warm,Rhodomonas,8_arm_pluteus,1343,700,680,1043,yes,H-RHLE-5,H-RHLE-5_20190126_01-05.tiff,difficult to see if food in gut,
2019-01-26,warm,Rhodomonas,8_arm_pluteus,1224,666,617,1029,yes,H-RHLE-5,H-RHLE-5_20190126_02-03.tiff,,
2019-01-26,warm,Rhodomonas,8_arm_pluteus,1295,745,661,1096,yes,H-RHLE-5,H-RHLE-5_20190126_03-04.tiff,difficult to see if food in gut,
2019-01-28,cold,Isochrysis,4_arm_pluteus,796,614,394,373,yes,C-ISGA-4,C-ISGA-4_20190128_01-03.tiff,,
2019-01-28,cold,Isochrysis,4_arm_pluteus,827,628,376,451,yes,C-ISGA-4,C-ISGA-4_20190128_02-04.tiff,,
2019-01-28,cold,Isochrysis,4_arm_pluteus,894,644,388,479,yes,C-ISGA-4,C-ISGA-4_20190128_03-03.tiff,,
2019-01-28,cold,Rhodomonas,4_arm_pluteus,826,623,384,383,no,C-RHLE-3,C-RHLE-3_20190128_01-01.tiff,,
2019-01-28,cold,Rhodomonas,4_arm_pluteus,709,598,354,233,no,C-RHLE-3,C-RHLE-3_20190128_02-05.tiff,,
2019-01-28,cold,Rhodomonas,4_arm_pluteus,748,597,300,340,yes,C-RHLE-3,C-RHLE-3_20190128_03-01.tiff,,
2019-01-28,warm,Isochrysis,4_arm_pluteus,692,596,482,262,yes,H-ISGA-3,H-ISGA-3_20190128_01-05.tiff,,
2019-01-28,warm,Isochrysis,4_arm_pluteus,769,651,564,364,yes,H-ISGA-3,H-ISGA-3_20190128_02-02.tiff,,
2019-01-28,warm,Isochrysis,4_arm_pluteus,751,666,508,326,yes,H-ISGA-3,H-ISGA-3_20190128_03-04.tiff,,
2019-01-28,warm,Rhodomonas,8_arm_pluteus,1336,686,671,1145,yes,H-RHLE-4,H-RHLE-4_20190128_01-06.tiff,,
2019-01-28,warm,Rhodomonas,8_arm_pluteus,1329,697,642,1143,yes,H-RHLE-4,H-RHLE-4_20190128_02-07.tiff,,
2019-01-28,warm,Rhodomonas,8_arm_pluteus,1238,696,648,1150,yes,H-RHLE-4,H-RHLE-4_20190128_03-04.tiff,,
2019-01-30,cold,Isochrysis,4_arm_pluteus,912,638,376,488,no,C-ISGA-1,C-ISGA-1_20190130_01-06.tiff,,
2019-01-30,cold,Isochrysis,4_arm_pluteus,962,647,409,569,yes,C-ISGA-1,C-ISGA-1_20190130_02-03.tiff,,
2019-01-30,cold,Isochrysis,4_arm_pluteus,854,638,357,367,yes,C-ISGA-1,C-ISGA-1_20190130_03-03.tiff,,
2019-01-30,cold,Rhodomonas,4_arm_pluteus,861,630,451,470,yes,C-RHLE-2,C-RHLE-2_20190130_01-01.tiff,,
2019-01-30,cold,Rhodomonas,4_arm_pluteus,734,567,360,356,yes,C-RHLE-2,C-RHLE-2_20190130_02-01.tiff,,
2019-01-30,cold,Rhodomonas,4_arm_pluteus,815,636,431,417,yes,C-RHLE-2,C-RHLE-2_20190130_03-01.tiff,,
2019-01-30,warm,Isochrysis,4_arm_pluteus,705,578,333,257,yes,H-ISGA-1,H-ISGA-1_20190130_01-05.tiff,,
2019-01-30,warm,Isochrysis,4_arm_pluteus,624,531,383,148,yes,H-ISGA-1,H-ISGA-1_20190130_02-02.tiff,,
2019-01-30,warm,Isochrysis,4_arm_pluteus,594,495,351,162,yes,H-ISGA-1,H-ISGA-1_20190130_03-05.tiff,,
2019-01-30,warm,Rhodomonas,8_arm_pluteus,994,482,558,812,yes,H-RHLE-2,H-RHLE-2_20190130_01-05.tiff,,
